province,year,avg_temperature,avg_humidity,total_rainfall,RR_Q1,RR_Q2,RR_Q3,RR_Q4,Tavg_Q1,Tavg_Q2,Tavg_Q3,Tavg_Q4,production,productivity,harvest_area,temp_humidity_index,rainfall_per_area,is_java,rainfall_category_kering,rainfall_category_normal,rainfall_category_basah,region_Bali_Nusa,region_Jawa,region_Kalimantan,region_Maluku_Papua,region_Sulawesi,region_Sumatera
kalimantan tengah,2018,26.913818860877686,85.3062558356676,9.373020288514848,8.213246226498422,7.976423691277175,7.137357925357085,8.271420522041666,26.59548611111111,27.184351145038168,26.927102803738315,26.97231270358306,514769050,3488,147571.69,2295.917117260848,6.351502979927721e-05,0,True,False,False,False,False,True,False,False,False
kalimantan tengah,2019,27.143432574430822,84.46584938704028,9.253466908997321,8.268885666438479,7.939372698825968,6.7158681173184815,7.97662974938629,26.85320512820513,27.33703703703704,26.953478260869566,27.396699669967,443561330,3035,146144.51,2292.6930876791566,6.33172392747709e-05,0,True,False,False,False,False,True,False,False,False
kalimantan tengah,2020,27.17109375,86.41953125,9.607699380923332,8.38990512574555,8.289966314664392,7.750916021859567,8.336174785152675,27.24358208955224,27.459682539682536,26.915827338129496,27.045454545454547,457952000,3196,143275.05,2348.113185424805,6.705772833618104e-05,0,True,False,False,False,False,True,False,False,False
kalimantan timur,2018,27.384552845528454,85.19047619047619,8.784269414075,7.575328208422652,7.626375255515113,6.905953657035509,7.335894704129174,27.040975609756096,27.342079207920793,27.630973451327435,27.486842105263158,262773880,4045,64961.16,2332.903097173829,0.00013522340753648434,0,True,False,False,False,False,True,False,False,False
kalimantan timur,2019,27.579041916167665,84.1125748502994,8.572722501208718,7.034476031761294,7.47477218239787,6.8073823048353495,7.303775928262302,27.32511415525114,27.713106796116502,27.60735294117647,27.686893203883496,253818370,3641,69707.75,2319.744227473197,0.00012298090958292167,0,True,False,False,False,False,True,False,False,False
kalimantan timur,2020,27.430082417582415,86.8282967032967,8.899089388678009,7.410226098365374,7.69147415772647,7.537643119902891,7.383057346679081,27.68974358974359,27.661452513966477,27.026900584795325,27.303825136612023,262434520,3567,73568.44,2381.707334749728,0.00012096341022683605,0,True,False,False,False,False,True,False,False,False
kalimantan utara,2018,27.41187150837989,84.54608938547486,8.966088090785044,7.552814548735027,7.407560399464662,7.676473646389156,7.661244688548244,27.164676616915425,27.60432098765432,27.329761904761902,27.586486486486486,45063530,3288,13707.0,2317.5665387706376,0.0006541247599214852,0,True,False,False,False,False,True,False,False,False
kalimantan utara,2019,27.770728476821194,83.14834437086093,8.937415540499309,7.182883885362298,7.800859263880956,7.5031242366233775,7.6213911259693985,27.54339622641509,28.03221153846154,27.646486486486488,27.79408866995074,33357190,3240,10294.7,2309.0900948204026,0.0008681569673538558,0,True,False,False,False,False,True,False,False,False
kalimantan utara,2020,27.609656925031764,84.82337992376112,8.992370911935701,7.579832028922791,7.4440731955090635,7.444307127319008,7.88848452699353,27.608450704225355,28.044615384615383,27.436309523809523,27.34691943127962,33574280,3397,9883.05,2341.9444189166716,0.0009098781148367074,0,True,False,False,False,False,True,False,False,False
lampung,2018,26.84012738853503,84.21019108280255,7.4689127350791304,6.7912214627261855,6.19644412779452,4.616110126026426,5.611667185748395,26.6734375,26.548780487804876,26.74285714285714,27.47105263157895,2488641910,4861,511940.93,2260.2122560752973,1.4589403380841684e-05,0,True,False,False,False,False,False,False,False,True
